author,mean_score,leaning
-Resputin-,0.8517901649999999,protrump
-weinerbutt-,0.97901756,protrump
Firestar463,0.9969928,protrump
Average_Sized_Jim,0.80158464,protrump
parabox1,0.7310343300000001,protrump
smokejaguar,0.0435960885,antitrump
LockyBalboaPrime,0.90405348,protrump
rolltideamerica,0.9837313999999999,protrump
tpedes,0.6602485883333333,protrump
OlNorthState,0.8586684000000001,protrump
thestormnmormn,0.5162266025,neutral
ManiacFoSho,0.3688825256666666,antitrump
DFN3,0.9881711,protrump
Bl00dy9,0.98091584,protrump
HeThicc,0.58505536075,neutral
ruskeeblue,0.9930686,protrump
distortion76,0.9881309000000001,protrump
MacBookPros,0.7747139975,protrump
Jalex8993,0.12493697,antitrump
TheCoyoteBlack,0.8623331130769232,protrump
alezit,0.9966408999999999,protrump
clovertac,0.5423201304864865,neutral
Wythas,0.032362431,antitrump
violins27,0.92386234,protrump
bambamtx,0.40643746900000005,neutral
JonRemzzzz,0.9812762749999999,protrump
Navydevildoc,0.98882806,protrump
Piss_Post_Detective,0.7936408502400001,protrump
warlord4991,0.9781352925,protrump
KnightsFan,0.99700886,protrump
Debaser626,0.53144807,neutral
The_Onyx_Hammer,0.9981061,protrump
CambridgeTransplant,0.23830298,antitrump
Kilonoid,0.015258778,antitrump
MBS_theBau5,0.8468817700000001,protrump
RR50,0.6933865133333333,protrump
James_Solomon,0.6520371033333333,protrump
CelticGaelic,0.51717,neutral
bfwilley,0.41545340080000004,neutral
pwaves13,0.9847486400000001,protrump
BruzrMcgilicuty,0.9393468,protrump
manyamile,0.025671756,antitrump
Ruination_Range,0.2838979188888888,antitrump
te_trac_tys,0.022565257000000002,antitrump
ViperGTS19801,0.99767894,protrump
dnarevolutions,0.2588700763571429,antitrump
Kromulent,0.3722424330909091,antitrump
Dingus_McDoodle_Esq,0.99618006,protrump
Duecesbruh,0.9742050999999999,protrump
MrWonder1,0.18346424249999999,antitrump
ThisdudeisEH,0.9812763000000001,protrump
The_Chosen_Bum,0.9023161,protrump
Stringer_Bell_ftw,0.9835690999999999,protrump
OneForEachOfYou,0.092574894,antitrump
gloveman90,0.39180607366666664,antitrump
RoundSimbacca,0.29315716508333334,antitrump
Gbcue,0.9887534525,protrump
nascentia,0.088249527,antitrump
Deanredinger12,0.6397197066666668,protrump
smstrom,0.05793949599999999,antitrump
pordante,0.448989215,neutral
Fastball48,0.9852905521428571,protrump
Jillski1189,0.99374044,protrump
ctophermh89,0.92608875,protrump
kungfujohnny,0.994989575,protrump
TrapperJon,0.526177725,neutral
philopean_tubes,0.8636552,protrump
SlarSlar,0.06752049,antitrump
cowboy_caviar,0.9935680200000001,protrump
codifier,0.058843571,antitrump
bruin06,0.054153447,antitrump
floorboardz,0.6563386783333334,protrump
NJ2A,0.6685698800000001,protrump
jbizzle31995,0.7488723960000001,protrump
SatansAdvisor,0.9722074,protrump
The-Commandant,0.8819717499999999,protrump
caseyborgers,0.9854207166666665,protrump
SheetrockBobby,0.96066207,protrump
Bonarz,0.97865505,protrump
WillitsThrockmorton,0.50128833725,neutral
Physical_removal,0.98461455,protrump
RealBACONATOR2,0.9554301457142858,protrump
g6mrfixit,0.986881885,protrump
BearingCharms,0.9263061800000001,protrump
sonofturbo,0.98274314,protrump
vvelox,0.41797414,neutral
LieutenantWeinberg,0.9786849,protrump
BigRigSRT,0.7838756200000001,protrump
OmniaMors,0.2213336002,antitrump
smegma_toast,0.9896976333333333,protrump
the_dutch_oven,0.9687810819999999,protrump
entirely12,0.96419425,protrump
AlJimJuma,0.99653083,protrump
jake5046,0.18922996616666665,antitrump
lolxcorezorz,0.9829745999999999,protrump
PopeJohnsonAgain,0.7513227642500001,protrump
Lazarous86,0.7486283225,protrump
PreppedForLife,0.9898402580000001,protrump
390v8,0.9853717433333333,protrump
Russiangreyman,0.3447300926666667,antitrump
Brotein92,0.5982932799999999,neutral
SwedishIngots,0.95357114,protrump
Donotdoxxmebruh,0.7768339,protrump
Nightlybane,0.6988537738461539,protrump
benjaminikuta,0.6962037999999999,protrump
Farwater,0.024272861,antitrump
liathus,0.25177887,antitrump
johnny_duet,0.9951239,protrump
fluffy_butternut,0.5148331594166666,neutral
fleetw16,0.9847761,protrump
Pink_Pistols_Atlanta,0.98635333,protrump
lareform,0.21477583,antitrump
n00tz,0.07014749,antitrump
shawmuttv2,0.49049538299999995,neutral
mtnman7610,0.9294112433333334,protrump
MindOfMomo,0.7611664825,protrump
GeisterImZimmer,0.547240102,neutral
the_number_2,0.520327495,neutral
PhillipStrong,0.447056053,neutral
KazarakOfKar,0.4305911641126129,neutral
Ellisace,0.99546933,protrump
RetroRN,0.9352953000000002,protrump
Typicalsuspect,0.82080954,protrump
theblackdane,0.8146419,protrump
randombits,0.10938106,antitrump
nauticalmile,0.5656386091428571,neutral
SnappleFunFact,0.49427627949999997,neutral
usmc8541,0.9221090200000001,protrump
Patriot_Rising,0.98906845,protrump
amryofonez,0.88567454,protrump
766AP,0.027214492,antitrump
Brabblecakes,0.9877792,protrump
kittyandzombie,0.0464266335,antitrump
SchmidtytheKid,0.6922097700000001,protrump
762mmFML,0.957605135,protrump
Simppa_,0.538085365,neutral
scubachris,0.99641573,protrump
natophonic2,0.9914716999999998,protrump
biggin354,0.6335929353333333,protrump
standardtissue,0.9782729433333334,protrump
SocialBrushStroke,0.009218275,antitrump
verylittlefinger,0.44430736666666665,neutral
ammodude,0.9590103999999999,protrump
Jesterfoot,0.35124603,antitrump
Boycoronablow,0.9860319866666666,protrump
bigslimvdub,0.9350806333333334,protrump
Dragon_Cake,0.9664044233333332,protrump
griffinj98,0.35893148666666663,antitrump
lactoseintolerants,0.9394710999999999,protrump
Laphroaig18Lover,0.07121165,antitrump
Georgy_K_Zhukov,0.01433346,antitrump
ColditzSalad,0.37607500099999996,antitrump
StoneChapel,0.9696444,protrump
ratpoison987,0.346899535,antitrump
KexyKnave,0.99367684,protrump
spockoli,0.06759273,antitrump
NSD2327,0.9874542,protrump
Oster,0.012557236999999999,antitrump
revrogue77,0.188687575,antitrump
coryandtrevorforever,0.9574797266666666,protrump
ReallyObvious,0.4773018845,neutral
Kolt_Raynor,0.055665426,antitrump
ThatSocio,0.9615059000000001,protrump
jeep_devil_1775,0.5243048299999999,neutral
silent_steve201,0.04999064166666667,antitrump
ragnarokrobo,0.98677677,protrump
god_killer1234567,0.9530568000000001,protrump
touchmyfuckingcoffee,0.96753205,protrump
wee-tod-did,0.6873693133333333,protrump
vegetarianrobots,0.03485008642857143,antitrump
gogolmogol,0.99602795,protrump
ImFunnyBoy,0.043638457,antitrump
slkern,0.7730863,protrump
KinkotheClown,0.4359936,neutral
Stagetek,0.9958021,protrump
Schrodingerspussay,0.97928625,protrump
col_ofpopcorn,0.5483361000000001,neutral
Ropetech,0.9937325,protrump
wolfington12,0.9925558000000001,protrump
AwesomeAF1,0.9717944,protrump
